Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-03-20,44.41661922842223,154.62837151224247,102.05361182213466,365.92393533803374,115.34659439115075,161.8732052938211,42.99721688079343,91.9692070107834,106.47082701196733,35.73164234363054,169.99321774548739,155.29642238086552,128.17806196231413,99.62348231482095,46.82008816900925,113.78276947493801,87.33560611247451,36.67481335480312,155.97098729021056,135.88579696157782,62.835069720790734,110.0534506999362,79.54509681383679,85.27585567106475,114.78006513555249,228.65745259718804,146.9434200140125,38.911389447553226,29.882779671606137
2019-03-21,45.32055956507145,153.1991538664586,99.96269362806159,365.2793755771125,113.90724658080185,161.21125458108656,42.93250938002446,91.84416516966448,106.26813573752274,33.862089006147684,163.688400587861,156.3075472089115,127.50941249825053,98.60975431658358,46.6988383272944,112.68877673575072,84.92305435529974,36.77983236669106,156.8725436830438,134.45540995927283,63.02697424539525,109.81906351140717,79.30871220986221,84.8986283610806,112.69315767573462,221.33838480957562,145.97229078394122,38.95874963994896,29.596605632859077
2019-03-22,46.58938494734348,154.19237724591204,101.17176271781095,360.15235261746756,114.62263500065863,163.9677773874928,43.60384212576417,91.82944089738731,104.55975213746586,33.055996697688364,163.49321980129776,159.51798191197858,128.5124405532118,99.93541975806775,47.1145576581118,113.30569689120152,83.55268419894068,36.72327315767836,158.1653441286087,135.42415745435596,63.648807637855455,112.03161316617714,77.45417240452714,85.90454088514446,115.48719717638,222.56416933477354,147.5622522133404,39.35118013769872,29.696023358024142
2019-03-25,45.67592017387485,150.7041785231291,99.34452824711121,356.45112380658645,111.6921740415475,158.30652430957542,42.625157883823576,90.41725404347441,104.71416302620982,32.92053506057973,160.65902623940195,159.04610422216695,127.15065002441406,98.5814207415988,45.87605867230612,112.61473955827516,81.72276275259392,37.04641538195694,158.41207075618422,132.28383496353766,63.00396117120953,109.27535860888781,74.07239329197579,85.21717764965653,116.51340794235163,219.76628269899797,145.0582627203786,40.34577806437834,29.461052114044115
2019-03-26,45.71170377934582,151.43890758144315,99.98996592744,366.78329838588826,114.36404241906779,159.4921413295589,43.02149064371609,91.03507113309219,104.62731501013427,33.191478051941424,161.25300786624652,160.68081215352993,127.91712830442533,99.19817398308457,46.17918335191197,112.63118411748307,81.91148758996022,37.29684318463688,158.75221540292392,133.2851021264225,63.533679621474185,111.2065806955,76.02693144352143,85.87103178005874,116.9359704383866,219.62417428489857,146.4007163809798,40.799108513225214,29.62974539879634
2019-03-27,45.01765519484567,152.00417567245296,99.70815511983056,363.1797344286241,114.00203845067777,157.0912856690928,43.110456901083985,91.18953837213108,106.6059609262124,33.191478316300696,161.73671015119461,159.80446869767513,128.2922496212374,99.53846492605798,46.413031993414315,113.99661663013285,81.96073533193825,37.68458462202403,159.59424670158393,134.84547847968722,63.65648641436434,110.51284256730558,76.08146062754055,86.1392592600831,116.5306836660668,215.7869637037735,148.01925760345523,40.975027282099944,29.56347181437225
2019-03-28,45.065360614447535,151.05942337976376,99.47179955740943,367.7794263189254,113.68312228988076,153.8210566570081,43.021483020219705,90.17452792442889,106.75073849442832,34.47849677801359,161.85547790886588,160.02352851240215,128.5287100022207,99.18399515860627,46.118564610814694,114.38319776352138,82.05917292089906,37.70882826150411,159.87494539752947,135.23560794898142,63.556701985697345,110.10033609392008,76.29965047732158,86.60029694321192,117.89320768295109,215.47612075958662,147.50510284774833,41.19153117556863,29.39778804984331
2019-03-29,45.27523275449241,152.90848109439125,100.18088534862515,367.70131393161824,115.49310178655874,154.98686342607428,43.433991928563664,91.41019648222974,107.67732447630134,33.54371074183094,163.50171373547823,160.81564290495635,129.80895076783776,99.60222902894343,46.59490709495604,114.56418685313254,83.32290872697216,37.700734481441636,161.81415644043855,136.07431896131325,63.71788019867307,110.69097223397492,76.9087348540446,87.06133313841153,118.76417694793753,216.98608143632953,148.26679632380987,40.05484255916288,29.39778773520107
2019-04-01,45.706934321186864,154.33767153495083,100.26269213577696,376.7639266748987,118.67344997910892,158.1780800922723,44.064874556176164,91.10864089687776,107.70628991961416,35.42682433455027,164.62183868170396,162.6188466999944,130.46943565935732,100.31822957259028,47.062592204678346,115.14819263209166,83.82347270102507,37.959245160764276,162.02683672642073,136.4644602312451,64.27832082293496,111.51595620523364,77.30872427073619,87.37148203314673,118.6262197480403,221.80029658082915,149.98054483582942,40.18339160950813,29.51225840870851
2019-04-02,45.57574022852839,154.87871284574774,101.0990561972281,379.40075132988693,120.79374125645066,158.92896487334866,44.48545606157386,92.08689314509789,109.2120018917221,37.337025904087355,166.5226083005531,164.7338547466292,131.54584064922565,101.6226212743908,47.22714932325098,114.34208081205415,85.83391057227671,37.765379283466004,160.67444779611213,137.99238014918947,64.07102106265928,111.61908684892447,77.27236042354576,86.85178366401625,119.33333451149964,218.069743809963,150.1043376577652,40.06837764451052,29.448998481405994
2019-04-03,46.09092905245227,155.98494408719907,101.65357852974572,380.55305939046525,120.53519693170448,159.8379643174558,44.857527308287324,92.10160034385775,108.7776556683299,38.664696554454295,169.07677090568424,164.29565591094786,131.7986255501952,101.83531384154104,47.660180296980315,113.67581144669295,86.82681227932136,37.49879419168468,160.64893280376316,138.45395975209993,63.925181125362776,112.36910310816445,77.18145776782995,86.82661451055898,118.58306948709252,218.7803239415359,150.95163488136214,39.77066013663981,29.256210273705072
2019-04-04,46.45822614134336,155.7184507953387,100.65411431031805,376.94949366318406,119.92320698279761,160.7567693713324,45.068276754650114,91.21161116742498,109.29885305687968,38.745977988425885,170.3920409467268,167.68299223906538,130.68146572867033,101.81404262334392,47.86803312113177,112.58184995119528,86.44934984733939,37.43417422529273,160.79353531840323,138.8115413870361,63.725565619710096,112.59408730363754,76.80873714306219,86.7428049800031,118.05705026092673,218.04305292188437,150.93259786142514,39.811270334021096,29.295372982754376
