Date,RA-DRL,PPO-log_return,PPO-dsr,PPO-mdd,Market Index,1/N Strategy,MVO
2021-01-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2021-01-05,1004435.2482550482,1000657.0400644839,1005848.114472542,1008465.4461988452,1005548.8880123289,1006231.2021453192,1006231.2021453192
2021-01-06,1006781.8243626831,1020636.7462449764,1017267.5257031393,1018684.8713677278,1020034.1436229307,1019851.496287666,1019851.496287666
2021-01-07,1018412.6648558093,1020128.3392376257,1024836.9804585363,1028197.6938965011,1027039.5444621883,1026220.8049077543,1026220.8049077543
2021-01-08,1022432.1111706313,1017810.6544878938,1024636.9617557547,1029991.0046331201,1028920.1707672273,1027655.9754484392,1027655.9754484392
2021-01-11,1016830.429281166,1011687.053984743,1021183.5828753327,1026866.2296532302,1025966.1748337536,1024927.3450347979,1024927.3450347979
2021-01-12,1014844.5866778535,1024950.7531728622,1023717.2834175305,1029601.0884972031,1027951.3593602743,1028421.1203125274,1028421.1203125274
2021-01-13,1018244.9216131377,1028782.3749089472,1027318.8042259987,1031085.5473866573,1027679.430438152,1029077.2937792804,1029077.2937792804
2021-01-14,1012147.6837362471,1029131.4793891639,1026644.8713307746,1029636.537711091,1025398.0837799568,1028219.4191062256,1028219.4191062256
2021-01-15,1007806.3966776002,1021213.6299483544,1021490.7372696347,1020473.7803003741,1019533.1947150666,1020619.4731671052,1020619.4731671052
2021-01-19,1013364.5615393481,1020860.1647766947,1027114.7439708431,1025062.1427633349,1023379.812844661,1025242.1910119257,1025242.1910119257
2021-01-20,1027326.0280095703,1023107.1519414294,1033428.6071392365,1033457.3023879227,1031911.5181543574,1034066.6605964397,1034066.6605964397
2021-01-21,1030812.9811625705,1030248.0172282871,1038288.0287821067,1033969.8105401896,1031502.2030895469,1034259.984533504,1034259.984533504
2021-01-22,1025675.5579255502,1019618.4600173306,1025377.9648696163,1027648.8513365478,1025578.7665903784,1025268.766507832,1025268.766507832
2021-01-25,1032052.2256446506,1018461.9400307855,1026175.2761831323,1028010.3325469255,1024355.215684612,1024042.1063217174,1024042.1063217174
2021-01-26,1035319.6571642128,1022726.911787477,1026690.70955288,1023890.1301312716,1023595.520720622,1021818.2872509918,1021818.2872509918
2021-01-27,1017013.5967115688,1017058.3697816912,1007041.5893624445,999649.556180296,1002623.067223828,1001247.8100340383,1001247.8100340383
2021-01-28,1030073.3074235957,1020438.2518361772,1016451.487660345,1011992.4037044726,1012555.2581799683,1011591.2877308856,1011591.2877308856
2021-01-29,1008437.205952192,994845.5326529683,995280.1603403733,991845.3580395965,992017.193042135,990541.2452963698,990541.2452963698
2021-02-01,1021973.8867384245,1001851.9788656554,1002981.358983496,1000285.4056230858,999603.6093136172,999102.3962144793,999102.3962144793
2021-02-02,1031305.3376745576,1018444.6484121569,1014501.0647165091,1015404.1790581954,1015338.5230744098,1014415.0640519183,1014415.0640519183
2021-02-03,1034700.8784268722,1017411.0314992494,1015907.7582931569,1018492.7059278704,1016533.5757257425,1015503.9874325173,1015503.9874325173
2021-02-04,1040584.008788521,1034817.7611993734,1027304.7737438024,1026404.3211667729,1027526.858150811,1028421.6509836295,1040348.3592573521
2021-02-05,1042711.3575909451,1042099.2036055168,1027052.9875665605,1030255.0785835738,1030583.4090271097,1033188.7895664766,1029554.0124279365
2021-02-08,1047281.9125817516,1054176.5422948736,1033237.3062649815,1034931.9822830231,1038442.077330175,1041175.1514485942,1046895.9346507523
2021-02-09,1047670.4798126656,1055498.8265275736,1032381.6447631859,1033761.4303428944,1038113.5396305386,1039713.7959191578,1040171.4868843744
2021-02-10,1047675.037802131,1056534.1688532457,1033770.6996949788,1035310.0122025886,1040163.9276462278,1040579.4179391902,1041587.1945828462
2021-02-11,1050700.207664716,1054724.0885016804,1034463.1375744588,1037807.3146984933,1039928.9624464089,1042259.87886309,1073439.704436909
2021-02-12,1051498.0650156382,1060415.2586431503,1038166.3572197602,1039503.857676244,1040845.4947426213,1043890.4662695364,1093789.9619973393
2021-02-16,1051279.340667822,1064015.0423278408,1037431.9811590152,1044269.8249875014,1042974.5922229363,1046142.2844348303,1105469.2179174463
2021-02-17,1054989.9449927546,1067033.5645597847,1041464.2357948681,1049627.9497884472,1045961.2868338324,1049948.8582153497,1094497.829466142
2021-02-18,1053442.5368447574,1067043.4266736293,1041215.3488825404,1048121.84083813,1042001.515771102,1046118.617346393,1090250.756473828
2021-02-19,1047431.2320548691,1058413.2629995523,1040030.1085293308,1050676.3996729897,1042033.9559609559,1046701.3777126895,1115024.9311816534
2021-02-22,1038282.8508704805,1066709.4867908969,1038292.704307025,1047602.0758022539,1042939.5025355046,1048790.9660750702,1074324.4379047893
2021-02-23,1036777.6594429878,1073161.675226487,1039893.3933761253,1046237.7395228153,1043457.6408666779,1050047.2799414436,1081579.6486367714
2021-02-24,1044431.8740136877,1086215.2334719792,1054069.1447319337,1060716.2405341696,1057503.1445012714,1063610.494170966,1118210.2413005854
2021-02-25,1024855.509891749,1072603.191841017,1035778.8856077451,1041560.1302749475,1038979.7314727742,1046184.1665852369,1068838.6199234698
2021-02-26,1017646.6149071186,1052287.423759455,1023409.6478730142,1025011.9213681291,1023441.0097765167,1029426.5706464435,1075562.9615456448
2021-03-01,1035779.3802036707,1078250.382994469,1043340.7438664038,1044893.0622570799,1043396.7670442825,1050110.0799038974,1112724.385040819
2021-03-02,1028061.3800696904,1076033.4267070421,1038634.8949637496,1039968.3623793076,1038632.6472900939,1045620.3317048413,1083703.1844282965
