,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WMT
2019-07-10,0.036932994,0.06526252,0.13514715,0.035543308,0.0043411236,0.004893858,0.023068432,0.029011242,0.04321316,0.011139055,0.020956375,0.008589249,0.04892779,0.037397165,0.0152049605,0.0077054175,0.02433037,0.10380291,0.01884563,0.10491426,0.0035585335,0.035221092,0.0071909055,0.013522793,0.10152175,0.010179919,0.01357463,0.0106281275,0.025375368
2019-07-11,0.05935166,0.05367781,0.2939603,0.058424845,0.0020079985,0.0018870293,0.025724905,0.014960163,0.017027615,0.016457157,0.00709219,0.007449179,0.050717406,0.029531915,0.016117066,0.0038590927,0.02248348,0.10244867,0.016764818,0.055378966,0.002107823,0.033041757,0.0086738225,0.008030088,0.04466773,0.0052510845,0.013628962,0.010661542,0.018614871
2019-07-12,0.072727,0.03672256,0.323573,0.10368926,0.002096315,0.0016287861,0.038676377,0.016642876,0.01195885,0.029289903,0.004096143,0.00909997,0.04278626,0.020592673,0.030323353,0.004005618,0.016882395,0.059503935,0.013999619,0.02772688,0.0030586917,0.036626812,0.016638618,0.0069684475,0.019139169,0.00432545,0.015731616,0.015315395,0.016173936
2019-07-15,0.056005366,0.041630145,0.24544221,0.10875865,0.003528033,0.0028070826,0.048780423,0.029240988,0.01976591,0.03240278,0.0069386614,0.011379927,0.04276779,0.020159712,0.04263262,0.0065506515,0.01684738,0.049355835,0.015850425,0.033375647,0.005182679,0.043760464,0.022947125,0.008731204,0.020215824,0.0058439267,0.019701194,0.019240422,0.020157034
2019-07-16,0.055584162,0.04967042,0.23552766,0.085326925,0.0040662494,0.003503104,0.04217885,0.024054918,0.020860659,0.032890365,0.0075050252,0.013856483,0.04610198,0.025046332,0.034027606,0.0068794945,0.021770654,0.057424568,0.020144394,0.037622534,0.0057756715,0.042457044,0.024843462,0.009735729,0.022413958,0.0065358523,0.023501396,0.01998978,0.020704798
2019-07-17,0.061776925,0.05370212,0.26142392,0.06479394,0.0030784055,0.00275086,0.030524924,0.016986571,0.016783703,0.023083102,0.007927861,0.010689322,0.051115293,0.030267447,0.021841364,0.0052097533,0.02667667,0.08629712,0.021164004,0.04578672,0.0037006256,0.037159495,0.013862398,0.009629004,0.032878138,0.0065489556,0.01858965,0.015119359,0.020632355
2019-07-18,0.07154349,0.04678676,0.17924592,0.060218267,0.005025314,0.0044218516,0.035174802,0.022781914,0.020532034,0.021229427,0.01532931,0.011717116,0.048425898,0.03531704,0.024761636,0.008091606,0.028244935,0.09128588,0.023764383,0.05111382,0.0051509566,0.04031152,0.012030973,0.015567323,0.051446658,0.011291339,0.015234543,0.017057609,0.026897715
2019-07-19,0.08254153,0.04410753,0.19022387,0.0559064,0.003969087,0.0033199922,0.030826503,0.019253997,0.017016573,0.017552936,0.013741894,0.009615107,0.049672093,0.035232253,0.021831067,0.0065458296,0.027448934,0.104590714,0.022576518,0.05195469,0.0038377454,0.03967347,0.008601809,0.014618846,0.06162957,0.010933774,0.012234208,0.014560618,0.025982339
2019-07-22,0.08469528,0.040532343,0.17165293,0.04418621,0.003581363,0.0030737969,0.024791343,0.018004738,0.016772693,0.012264306,0.01771907,0.007433156,0.0472895,0.037045036,0.017180508,0.0059101926,0.025849635,0.12827815,0.020482088,0.061143193,0.0029501342,0.036365353,0.005232982,0.015944716,0.09263617,0.011933537,0.008750394,0.011567827,0.026733348
2019-07-23,0.030566635,0.050964836,0.08496011,0.015471148,0.0041712676,0.0050670775,0.009105042,0.017925117,0.035517685,0.004875664,0.038910635,0.005758119,0.040674925,0.049651444,0.0072743283,0.0057243872,0.030671794,0.13661397,0.016835893,0.12360253,0.0027498982,0.02172356,0.0027513867,0.015890997,0.19259062,0.0118481545,0.008498596,0.0058574607,0.023746597
2019-07-24,0.04518091,0.0507664,0.11243056,0.023620762,0.004273482,0.004696659,0.015601291,0.020682173,0.030303488,0.006881492,0.034713488,0.006447378,0.042546473,0.042954575,0.01083304,0.006623255,0.029129298,0.14153576,0.018938322,0.10247468,0.003043248,0.02745051,0.0036569207,0.016890204,0.1421278,0.012750177,0.008858894,0.008468307,0.026120568
2019-07-25,0.05990313,0.04758927,0.14656073,0.033181444,0.0036164124,0.003535713,0.020405114,0.019495146,0.022856446,0.008819879,0.02491911,0.006510977,0.04610492,0.040014863,0.01285038,0.0061015305,0.027787171,0.14078619,0.020078558,0.082762495,0.0027048262,0.031005858,0.0041179443,0.01588103,0.115995154,0.011773989,0.008606786,0.009579553,0.026455404
2019-07-26,0.060123663,0.045171324,0.19220904,0.031797625,0.0019914617,0.0020529383,0.017116636,0.015350046,0.018137313,0.006974551,0.016557913,0.004544318,0.04668789,0.03604405,0.00972418,0.0038747392,0.022810008,0.16083024,0.015413125,0.08505119,0.001419776,0.02795467,0.0026855972,0.01144367,0.1207659,0.007918822,0.006387477,0.006912899,0.02204893
2019-07-29,0.0490319,0.045776993,0.15117744,0.022411954,0.0020607857,0.0022583064,0.013368567,0.014878567,0.019306406,0.005088316,0.021244925,0.003958147,0.044457804,0.03734243,0.0073211207,0.0038327759,0.022820031,0.1740477,0.015127962,0.10332001,0.0012585326,0.025242053,0.0019118955,0.012013574,0.15886381,0.008582382,0.005394006,0.005717654,0.02218395
2019-07-30,0.04340281,0.056144293,0.22174843,0.022159891,0.0010978456,0.0012004062,0.010625322,0.010055542,0.015978618,0.0046118945,0.011078114,0.0031761054,0.048742823,0.033712465,0.0057290164,0.0022232968,0.022491353,0.18233265,0.013441921,0.10192079,0.00073795795,0.02285405,0.0017366732,0.0069704936,0.12321047,0.005028236,0.0058876504,0.004337809,0.017363116
