Date,PPO-log_return,PPO-dsr,PPO-mdd,Market Index (^DJI),1/N Equal Weight
2021-02-04,1034817.757553236,1027304.7737438024,1026404.3211667729,1027526.858150811,1028421.6509836295
2021-02-05,1042099.1998960334,1027052.9875665605,1030255.0785835738,1030583.4090271097,1033188.7895664766
2021-02-08,1054176.5382530165,1033237.3062649815,1034931.9822830231,1038442.077330175,1041175.1514485942
2021-02-09,1055498.8225112092,1032381.6447631859,1033761.4303428944,1038113.5396305386,1039713.7959191578
2021-02-10,1056534.1643366218,1033770.6996949788,1035310.0122025886,1040163.9276462278,1040579.4179391902
2021-02-11,1054724.0831562716,1034463.1375744588,1037807.3146984933,1039928.9624464089,1042259.87886309
2021-02-12,1060415.254366815,1038166.3572197602,1039503.857676244,1040845.4947426213,1043890.4662695364
2021-02-16,1064015.0370812088,1037431.9811590152,1044269.8249875014,1042974.5922229363,1046142.2844348303
2021-02-17,1067033.5597895614,1041464.2357948681,1049627.9497884472,1045961.2868338324,1049948.8582153497
2021-02-18,1067043.422488066,1041215.3488825404,1048121.84083813,1042001.515771102,1046118.617346393
2021-02-19,1058413.2594994102,1040030.1085293308,1050676.3996729897,1042033.9559609559,1046701.3777126895
2021-02-22,1066709.4804471743,1038292.704307025,1047602.0758022539,1042939.5025355046,1048790.9660750702
2021-02-23,1073161.6685555633,1039893.3933761253,1046237.7395228153,1043457.6408666779,1050047.2799414436
2021-02-24,1086215.2268781401,1054069.1447319337,1060716.2405341696,1057503.1445012714,1063610.494170966
2021-02-25,1072603.1890272007,1035778.8856077451,1041560.1302749475,1038979.7314727742,1046184.1665852369
2021-02-26,1052287.4206274534,1023409.6478730142,1025011.9213681291,1023441.0097765167,1029426.5706464435
2021-03-01,1078250.3801590316,1043340.7438664038,1044893.0622570799,1043396.7670442825,1050110.0799038974
2021-03-02,1076033.4230732345,1038634.8949637496,1039968.3623793076,1038632.6472900939,1045620.3317048413
2021-03-03,1083222.0639882754,1038853.9235482805,1033065.339130223,1034614.9750120068,1041751.2284741814
2021-03-04,1073466.4037544264,1026370.6077121503,1021247.7444253117,1023168.7577449337,1030117.2983699216
2021-03-05,1093175.688442135,1045455.4820703092,1042485.524228088,1042099.4825595852,1051086.211775164
2021-03-08,1114574.269719738,1053073.9118665778,1046168.7575563119,1052228.511799182,1060727.1842143112
