Strategy,CR (%),AR (%),AV (%),MDD (%),SR,SOR,CAR,OR,Stability (R²)
PPO-log_return,40.96,11.23,15.78,17.82,0.42,0.635,0.335,1.134,0.1459
PPO-dsr,44.0,11.97,14.64,20.95,0.487,0.709,0.321,1.155,0.3876
PPO-mdd,43.66,11.88,14.88,21.64,0.476,0.687,0.307,1.152,0.5246
Market Index (^DJI),31.71,8.91,14.63,21.94,0.298,0.425,0.167,1.118,0.1218
1/N Equal Weight,42.91,11.7,14.65,20.87,0.471,0.682,0.309,1.151,0.3999
